2026-07-20T01:58:59.152Z, DATA, 1, 0, 2, 8
2026-07-20T01:58:59.153Z, DATA, 2, 0, 3, 8
2026-07-20T01:58:59.153Z, DATA, 3, 0, 4, 8
2026-07-20T01:58:59.153Z, DATA, 4, 0, 5, 8
2026-07-20T01:58:59.153Z, DATA, 5, 0, 6, 8
2026-07-20T01:58:59.153Z, DATA, 6, 0, 7, 8
2026-07-20T01:58:59.153Z, DATA, 7, 0, 8, 8
2026-07-20T01:58:59.153Z, ACK, 2, 0, 8, 8
2026-07-20T01:58:59.153Z, ACK, 3, 0, 8, 8
2026-07-20T01:58:59.153Z, ACK, 4, 0, 8, 8
2026-07-20T01:58:59.153Z, ACK, 5, 0, 8, 8
2026-07-20T01:58:59.153Z, ACK, 7, 0, 8, 8
2026-07-20T01:58:59.255Z, DATA, 1, 0, 8, 8
2026-07-20T01:58:59.255Z, DATA, 6, 0, 8, 8
2026-07-20T01:58:59.255Z, ACK, 0, 0, 8, 8
2026-07-20T01:58:59.255Z, DATA, 8, 1, 9, 9
2026-07-20T01:58:59.255Z, ACK, 6, 1, 9, 9
2026-07-20T01:58:59.255Z, ACK, 8, 1, 9, 9
2026-07-20T01:58:59.356Z, DATA, 1, 1, 9, 9
2026-07-20T01:58:59.356Z, ACK, 1, 1, 9, 9
2026-07-20T01:58:59.356Z, DATA, 9, 9, 10, 17
2026-07-20T01:58:59.357Z, DATA, 10, 9, 11, 17
2026-07-20T01:58:59.357Z, DATA, 11, 9, 12, 17
2026-07-20T01:58:59.357Z, DATA, 12, 9, 13, 17
2026-07-20T01:58:59.357Z, DATA, 13, 9, 14, 17
2026-07-20T01:58:59.357Z, DATA, 14, 9, 15, 17
2026-07-20T01:58:59.357Z, DATA, 15, 9, 16, 17
2026-07-20T01:58:59.357Z, DATA, 16, 9, 17, 17
2026-07-20T01:58:59.357Z, ACK, 9, 9, 17, 17
2026-07-20T01:58:59.357Z, DATA, 17, 10, 18, 18
2026-07-20T01:58:59.357Z, ACK, 10, 10, 18, 18
2026-07-20T01:58:59.357Z, DATA, 18, 11, 19, 19
2026-07-20T01:58:59.357Z, ACK, 11, 11, 19, 19
2026-07-20T01:58:59.357Z, DATA, 19, 12, 20, 20
2026-07-20T01:58:59.357Z, ACK, 12, 12, 20, 20
2026-07-20T01:58:59.357Z, DATA, 20, 13, 21, 21
2026-07-20T01:58:59.357Z, ACK, 14, 13, 21, 21
2026-07-20T01:58:59.357Z, ACK, 15, 13, 21, 21
2026-07-20T01:58:59.357Z, ACK, 16, 13, 21, 21
2026-07-20T01:58:59.357Z, ACK, 18, 13, 21, 21
2026-07-20T01:58:59.357Z, ACK, 19, 13, 21, 21
2026-07-20T01:58:59.357Z, ACK, 20, 13, 21, 21
2026-07-20T01:58:59.458Z, DATA, 13, 13, 21, 21
2026-07-20T01:58:59.458Z, DATA, 17, 13, 21, 21
2026-07-20T01:58:59.458Z, ACK, 13, 13, 21, 21
2026-07-20T01:58:59.458Z, DATA, 21, 17, 22, 25
2026-07-20T01:58:59.458Z, DATA, 22, 17, 23, 25
2026-07-20T01:58:59.458Z, DATA, 23, 17, 24, 25
2026-07-20T01:58:59.458Z, DATA, 24, 17, 25, 25
2026-07-20T01:58:59.458Z, ACK, 17, 17, 25, 25
2026-07-20T01:58:59.458Z, DATA, 25, 21, 26, 29
2026-07-20T01:58:59.458Z, DATA, 26, 21, 27, 29
2026-07-20T01:58:59.459Z, DATA, 27, 21, 28, 29
2026-07-20T01:58:59.459Z, DATA, 28, 21, 29, 29
2026-07-20T01:58:59.459Z, ACK, 22, 21, 29, 29
2026-07-20T01:58:59.459Z, ACK, 23, 21, 29, 29
2026-07-20T01:58:59.459Z, ACK, 25, 21, 29, 29
2026-07-20T01:58:59.459Z, ACK, 27, 21, 29, 29
2026-07-20T01:58:59.459Z, ACK, 28, 21, 29, 29
2026-07-20T01:58:59.559Z, DATA, 21, 21, 29, 29
2026-07-20T01:58:59.560Z, DATA, 24, 21, 29, 29
2026-07-20T01:58:59.560Z, DATA, 26, 21, 29, 29
2026-07-20T01:58:59.560Z, ACK, 21, 21, 29, 29
2026-07-20T01:58:59.560Z, DATA, 29, 24, 30, 32
2026-07-20T01:58:59.560Z, DATA, 30, 24, 31, 32
2026-07-20T01:58:59.560Z, DATA, 31, 24, 32, 32
2026-07-20T01:58:59.560Z, ACK, 26, 24, 32, 32
2026-07-20T01:58:59.560Z, ACK, 29, 24, 32, 32
2026-07-20T01:58:59.560Z, ACK, 30, 24, 32, 32
2026-07-20T01:58:59.560Z, ACK, 31, 24, 32, 32
2026-07-20T01:58:59.661Z, DATA, 24, 24, 32, 32
2026-07-20T01:58:59.661Z, ACK, 24, 24, 32, 32
2026-07-20T01:58:59.661Z, DATA, 32, 32, 33, 40
2026-07-20T01:58:59.661Z, DATA, 33, 32, 34, 40
2026-07-20T01:58:59.661Z, DATA, 34, 32, 35, 40
2026-07-20T01:58:59.661Z, DATA, 35, 32, 36, 40
2026-07-20T01:58:59.661Z, DATA, 36, 32, 37, 40
2026-07-20T01:58:59.661Z, DATA, 37, 32, 38, 40
2026-07-20T01:58:59.661Z, DATA, 38, 32, 39, 40
2026-07-20T01:58:59.661Z, ACK, 32, 32, 40, 40
2026-07-20T01:58:59.661Z, ACK, 35, 33, 40, 41
2026-07-20T01:58:59.661Z, ACK, 37, 33, 40, 41
2026-07-20T01:58:59.762Z, DATA, 33, 33, 40, 41
2026-07-20T01:58:59.762Z, DATA, 34, 33, 40, 41
2026-07-20T01:58:59.762Z, DATA, 36, 33, 40, 41
2026-07-20T01:58:59.763Z, DATA, 38, 33, 40, 41
2026-07-20T01:58:59.763Z, ACK, 34, 33, 40, 41
2026-07-20T01:58:59.763Z, ACK, 36, 33, 40, 41
2026-07-20T01:58:59.763Z, ACK, 38, 33, 40, 41
2026-07-20T01:58:59.763Z, ACK, 39, 33, 40, 41
